"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17914","GET leave types should return 200","chromium","2026-03-16","passed","2026-03-16","OrangeHRM API Tests","api\employees.api.spec.ts","",""
"","22609","can navigate to Leave List page","chromium","2026-03-16","passed","2026-03-16","OrangeHRM Leave module","ui\leave.test.ts","",""
"","12521","should allow valid user to log in","chromium","2026-03-16","passed","2026-03-16","OrangeHRM login","ui\login.spec.ts","",""
"","10296","should verify dashboard loads after login","chromium","2026-03-16","passed","2026-03-16","OrangeHRM Dashboard","ui\dashboard.spec.ts","",""
"","15347","can navigate to Admin System Users page","chromium","2026-03-16","passed","2026-03-16","OrangeHRM Admin module - System Users","ui\admin.test.ts","",""
"","15233","should add a new employee","chromium","2026-03-16","passed","2026-03-16","OrangeHRM Employee Management","ui\employee.test.ts","",""
"","18495","should search for an employee","chromium","2026-03-16","passed","2026-03-16","OrangeHRM Employee Management","ui\employee.test.ts","",""
"","8995","inspect recruitment page elements","chromium","2026-03-16","passed","2026-03-16","OrangeHRM Recruitment module - Candidates","ui\recruitment.test.ts","",""
"","12974","GET job titles should return 200","chromium","2026-03-16","passed","2026-03-16","OrangeHRM API Tests","api\employees.api.spec.ts","",""
"","16592","should verify logout works","chromium","2026-03-16","passed","2026-03-16","OrangeHRM Dashboard","ui\dashboard.spec.ts","",""
"","10836","GET employees list should return 200","chromium","2026-03-16","passed","2026-03-16","OrangeHRM API Tests","api\employees.api.spec.ts","",""
"","11673","GET nationalities should return 200","chromium","2026-03-16","passed","2026-03-16","OrangeHRM API Tests","api\employees.api.spec.ts","",""
"","11865","can search for a user","chromium","2026-03-16","passed","2026-03-16","OrangeHRM Admin module - System Users","ui\admin.test.ts","",""
"","10284","can view leave list","chromium","2026-03-16","passed","2026-03-16","OrangeHRM Leave module","ui\leave.test.ts","",""
"","11715","should navigate to employee list page","chromium","2026-03-16","passed","2026-03-16","OrangeHRM Employee Management","ui\employee.test.ts","",""
"","13089","add candidate test","chromium","2026-03-16","passed","2026-03-16","OrangeHRM Recruitment module - Candidates","ui\recruitment.test.ts","",""
"","8071","should show error for invalid credentials","chromium","2026-03-16","passed","2026-03-16","OrangeHRM login","ui\login.spec.ts","",""
"","16981","GET locations should return 200","chromium","2026-03-16","passed","2026-03-16","OrangeHRM API Tests","api\employees.api.spec.ts","",""
